In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 10.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 90.000000 %, cost 2.103105
epoch 3, minibatch 1/1, validation error 10.000000 %, cost 8.431352
epoch 4, minibatch 1/1, validation error 90.000000 %, cost 4.403655
epoch 5, minibatch 1/1, validation error 10.000000 %, cost 1.675084
epoch 6, minibatch 1/1, validation error 10.000000 %, cost 5.659406
epoch 7, minibatch 1/1, validation error 90.000000 %, cost 0.836264
epoch 8, minibatch 1/1, validation error 10.000000 %, cost 2.811332
epoch 9, minibatch 1/1, validation error 10.000000 %, cost 4.141910
epoch 10, minibatch 1/1, validation error 90.000000 %, cost 0.674762
epoch 11, minibatch 1/1, validation error 10.000000 %, cost 0.766263
epoch 12, minibatch 1/1, validation error 90.000000 %, cost 1.472892
epoch 13, minibatch 1/1, validation error 10.000000 %, cost 2.305330
epoch 14, minibatch 1/1, validation error 90.000000 %, cost 2.620668
epoch 15, minibatch 1/1, validation error 10.000000 %, cost 0.739226
epoch 16, minibatch 1/1, validation error 90.000000 %, cost 0.862647
epoch 17, minibatch 1/1, validation error 10.000000 %, cost 1.210055
epoch 18, minibatch 1/1, validation error 90.000000 %, cost 1.700557
epoch 19, minibatch 1/1, validation error 10.000000 %, cost 0.841511
epoch 20, minibatch 1/1, validation error 90.000000 %, cost 1.004236
epoch 21, minibatch 1/1, validation error 10.000000 %, cost 0.957468
epoch 22, minibatch 1/1, validation error 90.000000 %, cost 1.161217
epoch 23, minibatch 1/1, validation error 10.000000 %, cost 0.840286
epoch 24, minibatch 1/1, validation error 90.000000 %, cost 0.883097
epoch 25, minibatch 1/1, validation error 10.000000 %, cost 0.835125
epoch 26, minibatch 1/1, validation error 90.000000 %, cost 0.806777
epoch 27, minibatch 1/1, validation error 10.000000 %, cost 0.736621
epoch 28, minibatch 1/1, validation error 90.000000 %, cost 0.702389
epoch 29, minibatch 1/1, validation error 10.000000 %, cost 0.763139
epoch 30, minibatch 1/1, validation error 90.000000 %, cost 0.766189
epoch 31, minibatch 1/1, validation error 10.000000 %, cost 0.745670
epoch 32, minibatch 1/1, validation error 90.000000 %, cost 0.800248
epoch 33, minibatch 1/1, validation error 10.000000 %, cost 0.747885
epoch 34, minibatch 1/1, validation error 90.000000 %, cost 0.724233
