In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 10.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 10.000000 %, cost 0.674561
epoch 3, minibatch 1/1, validation error 10.000000 %, cost 0.673622
epoch 4, minibatch 1/1, validation error 10.000000 %, cost 0.670738
epoch 5, minibatch 1/1, validation error 10.000000 %, cost 0.673304
epoch 6, minibatch 1/1, validation error 10.000000 %, cost 0.671756
epoch 7, minibatch 1/1, validation error 10.000000 %, cost 0.671142
epoch 8, minibatch 1/1, validation error 10.000000 %, cost 0.673679
epoch 9, minibatch 1/1, validation error 10.000000 %, cost 0.676876
epoch 10, minibatch 1/1, validation error 10.000000 %, cost 0.666807
epoch 11, minibatch 1/1, validation error 10.000000 %, cost 0.672956
epoch 12, minibatch 1/1, validation error 10.000000 %, cost 0.672982
epoch 13, minibatch 1/1, validation error 10.000000 %, cost 0.674023
epoch 14, minibatch 1/1, validation error 10.000000 %, cost 0.675776
epoch 15, minibatch 1/1, validation error 10.000000 %, cost 0.675756
epoch 16, minibatch 1/1, validation error 10.000000 %, cost 0.671197
epoch 17, minibatch 1/1, validation error 10.000000 %, cost 0.672522
epoch 18, minibatch 1/1, validation error 10.000000 %, cost 0.671866
epoch 19, minibatch 1/1, validation error 10.000000 %, cost 0.678076
epoch 20, minibatch 1/1, validation error 10.000000 %, cost 0.674439
epoch 21, minibatch 1/1, validation error 10.000000 %, cost 0.671625
epoch 22, minibatch 1/1, validation error 10.000000 %, cost 0.675069
epoch 23, minibatch 1/1, validation error 10.000000 %, cost 0.675909
epoch 24, minibatch 1/1, validation error 10.000000 %, cost 0.667926
epoch 25, minibatch 1/1, validation error 10.000000 %, cost 0.671773
epoch 26, minibatch 1/1, validation error 10.000000 %, cost 0.672096
epoch 27, minibatch 1/1, validation error 10.000000 %, cost 0.670172
epoch 28, minibatch 1/1, validation error 10.000000 %, cost 0.671622
epoch 29, minibatch 1/1, validation error 10.000000 %, cost 0.671230
epoch 30, minibatch 1/1, validation error 10.000000 %, cost 0.673640
epoch 31, minibatch 1/1, validation error 10.000000 %, cost 0.670867
epoch 32, minibatch 1/1, validation error 10.000000 %, cost 0.676104
epoch 33, minibatch 1/1, validation error 10.000000 %, cost 0.674497
epoch 34, minibatch 1/1, validation error 10.000000 %, cost 0.680047
epoch 35, minibatch 1/1, validation error 10.000000 %, cost 0.668846
epoch 36, minibatch 1/1, validation error 10.000000 %, cost 0.670273
epoch 37, minibatch 1/1, validation error 10.000000 %, cost 0.665393
epoch 38, minibatch 1/1, validation error 10.000000 %, cost 0.681621
epoch 39, minibatch 1/1, validation error 10.000000 %, cost 0.671772
epoch 40, minibatch 1/1, validation error 10.000000 %, cost 0.663843
epoch 41, minibatch 1/1, validation error 10.000000 %, cost 0.676112
epoch 42, minibatch 1/1, validation error 10.000000 %, cost 0.666696
epoch 43, minibatch 1/1, validation error 10.000000 %, cost 0.671176
epoch 44, minibatch 1/1, validation error 10.000000 %, cost 0.665546
epoch 45, minibatch 1/1, validation error 10.000000 %, cost 0.667689
epoch 46, minibatch 1/1, validation error 10.000000 %, cost 0.669187
epoch 47, minibatch 1/1, validation error 10.000000 %, cost 0.678547
epoch 48, minibatch 1/1, validation error 10.000000 %, cost 0.681263
epoch 49, minibatch 1/1, validation error 10.000000 %, cost 0.679529
epoch 50, minibatch 1/1, validation error 10.000000 %, cost 0.677681
epoch 51, minibatch 1/1, validation error 10.000000 %, cost 0.671396
epoch 52, minibatch 1/1, validation error 10.000000 %, cost 0.677551
epoch 53, minibatch 1/1, validation error 10.000000 %, cost 0.666742
epoch 54, minibatch 1/1, validation error 10.000000 %, cost 0.683254
epoch 55, minibatch 1/1, validation error 10.000000 %, cost 0.665159
epoch 56, minibatch 1/1, validation error 10.000000 %, cost 0.669624
epoch 57, minibatch 1/1, validation error 10.000000 %, cost 0.666104
epoch 58, minibatch 1/1, validation error 10.000000 %, cost 0.672574
epoch 59, minibatch 1/1, validation error 10.000000 %, cost 0.672990
epoch 60, minibatch 1/1, validation error 10.000000 %, cost 0.676643
epoch 61, minibatch 1/1, validation error 10.000000 %, cost 0.673089
epoch 62, minibatch 1/1, validation error 10.000000 %, cost 0.678480
epoch 63, minibatch 1/1, validation error 10.000000 %, cost 0.676199
epoch 64, minibatch 1/1, validation error 10.000000 %, cost 0.677659
epoch 65, minibatch 1/1, validation error 10.000000 %, cost 0.680913
epoch 66, minibatch 1/1, validation error 10.000000 %, cost 0.670069
epoch 67, minibatch 1/1, validation error 10.000000 %, cost 0.678270
epoch 68, minibatch 1/1, validation error 10.000000 %, cost 0.676559
epoch 69, minibatch 1/1, validation error 10.000000 %, cost 0.673696
epoch 70, minibatch 1/1, validation error 10.000000 %, cost 0.674764
epoch 71, minibatch 1/1, validation error 10.000000 %, cost 0.673559
epoch 72, minibatch 1/1, validation error 10.000000 %, cost 0.670301
epoch 73, minibatch 1/1, validation error 10.000000 %, cost 0.673769
