In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((137, 49152), (39, 49152), (20, 49152))
((137,), (39,), (20,))
(49152,)
n_train_samples: 137
n_valid_samples: 20
n_test_samples: 39
n_batches:
n_train_batches: 6
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 6
 
('n_train_batches', 6)
('training @ iter = ', 0)
epoch 1, minibatch 6/6, validation error 10.000000 %, cost 1.485437
epoch 2, minibatch 6/6, validation error 10.000000 %, cost 0.494269
epoch 3, minibatch 6/6, validation error 10.000000 %, cost 0.309304
epoch 4, minibatch 6/6, validation error 10.000000 %, cost 0.498116
epoch 5, minibatch 6/6, validation error 10.000000 %, cost 0.507035
epoch 6, minibatch 6/6, validation error 10.000000 %, cost 0.537807
epoch 7, minibatch 6/6, validation error 10.000000 %, cost 0.531896
epoch 8, minibatch 6/6, validation error 10.000000 %, cost 0.516702
epoch 9, minibatch 6/6, validation error 10.000000 %, cost 0.511728
epoch 10, minibatch 6/6, validation error 10.000000 %, cost 0.600028
epoch 11, minibatch 6/6, validation error 10.000000 %, cost 0.639755
epoch 12, minibatch 6/6, validation error 10.000000 %, cost 0.591900
epoch 13, minibatch 6/6, validation error 10.000000 %, cost 0.642523
epoch 14, minibatch 6/6, validation error 10.000000 %, cost 0.567396
epoch 15, minibatch 6/6, validation error 10.000000 %, cost 0.578831
epoch 16, minibatch 6/6, validation error 10.000000 %, cost 0.582427
('training @ iter = ', 100)
epoch 17, minibatch 6/6, validation error 10.000000 %, cost 0.608589
epoch 18, minibatch 6/6, validation error 10.000000 %, cost 0.575476
epoch 19, minibatch 6/6, validation error 10.000000 %, cost 0.591189
epoch 20, minibatch 6/6, validation error 10.000000 %, cost 0.565431
epoch 21, minibatch 6/6, validation error 10.000000 %, cost 0.571450
epoch 22, minibatch 6/6, validation error 10.000000 %, cost 0.567843
epoch 23, minibatch 6/6, validation error 10.000000 %, cost 0.595021
epoch 24, minibatch 6/6, validation error 10.000000 %, cost 0.601528
epoch 25, minibatch 6/6, validation error 10.000000 %, cost 0.563992
epoch 26, minibatch 6/6, validation error 10.000000 %, cost 0.597764
epoch 27, minibatch 6/6, validation error 10.000000 %, cost 0.572608
epoch 28, minibatch 6/6, validation error 10.000000 %, cost 0.606331
epoch 29, minibatch 6/6, validation error 10.000000 %, cost 0.552168
epoch 30, minibatch 6/6, validation error 10.000000 %, cost 0.535217
epoch 31, minibatch 6/6, validation error 10.000000 %, cost 0.583688
epoch 32, minibatch 6/6, validation error 10.000000 %, cost 0.588091
epoch 33, minibatch 6/6, validation error 10.000000 %, cost 0.582905
('training @ iter = ', 200)
epoch 34, minibatch 6/6, validation error 10.000000 %, cost 0.557964
epoch 35, minibatch 6/6, validation error 10.000000 %, cost 0.573690
epoch 36, minibatch 6/6, validation error 10.000000 %, cost 0.581050
epoch 37, minibatch 6/6, validation error 10.000000 %, cost 0.535660
epoch 38, minibatch 6/6, validation error 10.000000 %, cost 0.583567
epoch 39, minibatch 6/6, validation error 10.000000 %, cost 0.558707
epoch 40, minibatch 6/6, validation error 10.000000 %, cost 0.596987
epoch 41, minibatch 6/6, validation error 10.000000 %, cost 0.601322
epoch 42, minibatch 6/6, validation error 10.000000 %, cost 0.544739
epoch 43, minibatch 6/6, validation error 10.000000 %, cost 0.543967
epoch 44, minibatch 6/6, validation error 10.000000 %, cost 0.553146
epoch 45, minibatch 6/6, validation error 10.000000 %, cost 0.575920
epoch 46, minibatch 6/6, validation error 10.000000 %, cost 0.535695
epoch 47, minibatch 6/6, validation error 10.000000 %, cost 0.539513
epoch 48, minibatch 6/6, validation error 10.000000 %, cost 0.586739
epoch 49, minibatch 6/6, validation error 10.000000 %, cost 0.551381
epoch 50, minibatch 6/6, validation error 10.000000 %, cost 0.536895
('training @ iter = ', 300)
epoch 51, minibatch 6/6, validation error 10.000000 %, cost 0.525675
epoch 52, minibatch 6/6, validation error 10.000000 %, cost 0.563712
epoch 53, minibatch 6/6, validation error 10.000000 %, cost 0.559307
epoch 54, minibatch 6/6, validation error 10.000000 %, cost 0.510602
epoch 55, minibatch 6/6, validation error 10.000000 %, cost 0.554135
epoch 56, minibatch 6/6, validation error 10.000000 %, cost 0.578567
epoch 57, minibatch 6/6, validation error 10.000000 %, cost 0.540534
epoch 58, minibatch 6/6, validation error 10.000000 %, cost 0.543221
epoch 59, minibatch 6/6, validation error 10.000000 %, cost 0.551425
epoch 60, minibatch 6/6, validation error 10.000000 %, cost 0.518300
epoch 61, minibatch 6/6, validation error 10.000000 %, cost 0.564458
epoch 62, minibatch 6/6, validation error 10.000000 %, cost 0.519298
epoch 63, minibatch 6/6, validation error 10.000000 %, cost 0.545648
epoch 64, minibatch 6/6, validation error 10.000000 %, cost 0.499256
epoch 65, minibatch 6/6, validation error 10.000000 %, cost 0.540675
epoch 66, minibatch 6/6, validation error 10.000000 %, cost 0.520187
('training @ iter = ', 400)
epoch 67, minibatch 6/6, validation error 10.000000 %, cost 0.499079
epoch 68, minibatch 6/6, validation error 10.000000 %, cost 0.488142
epoch 69, minibatch 6/6, validation error 10.000000 %, cost 0.455650
epoch 70, minibatch 6/6, validation error 10.000000 %, cost 0.468409
epoch 71, minibatch 6/6, validation error 10.000000 %, cost 0.461708
epoch 72, minibatch 6/6, validation error 10.000000 %, cost 0.466675
epoch 73, minibatch 6/6, validation error 10.000000 %, cost 0.412756
epoch 74, minibatch 6/6, validation error 10.000000 %, cost 0.414959
epoch 75, minibatch 6/6, validation error 10.000000 %, cost 0.452005
epoch 76, minibatch 6/6, validation error 10.000000 %, cost 0.470515
epoch 77, minibatch 6/6, validation error 10.000000 %, cost 0.469593
epoch 78, minibatch 6/6, validation error 10.000000 %, cost 0.445305
epoch 79, minibatch 6/6, validation error 10.000000 %, cost 0.433705
epoch 80, minibatch 6/6, validation error 10.000000 %, cost 0.409691
epoch 81, minibatch 6/6, validation error 10.000000 %, cost 0.349555
epoch 82, minibatch 6/6, validation error 10.000000 %, cost 0.400995
epoch 83, minibatch 6/6, validation error 10.000000 %, cost 0.505362
('training @ iter = ', 500)
epoch 84, minibatch 6/6, validation error 10.000000 %, cost 0.422430
epoch 85, minibatch 6/6, validation error 5.000000 %, cost 0.381774
epoch 86, minibatch 6/6, validation error 5.000000 %, cost 0.424007
epoch 87, minibatch 6/6, validation error 10.000000 %, cost 0.364369
epoch 88, minibatch 6/6, validation error 5.000000 %, cost 0.293419
epoch 89, minibatch 6/6, validation error 5.000000 %, cost 0.448144
epoch 90, minibatch 6/6, validation error 5.000000 %, cost 0.431433
epoch 91, minibatch 6/6, validation error 10.000000 %, cost 0.565782
epoch 92, minibatch 6/6, validation error 5.000000 %, cost 0.484689
epoch 93, minibatch 6/6, validation error 5.000000 %, cost 0.416452
epoch 94, minibatch 6/6, validation error 5.000000 %, cost 0.423838
epoch 95, minibatch 6/6, validation error 10.000000 %, cost 0.517652
epoch 96, minibatch 6/6, validation error 5.000000 %, cost 0.427332
epoch 97, minibatch 6/6, validation error 10.000000 %, cost 0.352211
epoch 98, minibatch 6/6, validation error 10.000000 %, cost 0.471269
epoch 99, minibatch 6/6, validation error 10.000000 %, cost 0.424577
epoch 100, minibatch 6/6, validation error 10.000000 %, cost 0.561298
('training @ iter = ', 600)
epoch 101, minibatch 6/6, validation error 5.000000 %, cost 0.327415
epoch 102, minibatch 6/6, validation error 10.000000 %, cost 0.885967
epoch 103, minibatch 6/6, validation error 10.000000 %, cost 0.550963
epoch 104, minibatch 6/6, validation error 5.000000 %, cost 0.439060
epoch 105, minibatch 6/6, validation error 5.000000 %, cost 0.319115
epoch 106, minibatch 6/6, validation error 10.000000 %, cost 0.321821
epoch 107, minibatch 6/6, validation error 10.000000 %, cost 0.264250
epoch 108, minibatch 6/6, validation error 10.000000 %, cost 0.950559
epoch 109, minibatch 6/6, validation error 10.000000 %, cost 0.533810
epoch 110, minibatch 6/6, validation error 10.000000 %, cost 0.524164
epoch 111, minibatch 6/6, validation error 10.000000 %, cost 0.595695
epoch 112, minibatch 6/6, validation error 10.000000 %, cost 0.604732
epoch 113, minibatch 6/6, validation error 10.000000 %, cost 0.573751
epoch 114, minibatch 6/6, validation error 10.000000 %, cost 0.552645
epoch 115, minibatch 6/6, validation error 10.000000 %, cost 0.545776
epoch 116, minibatch 6/6, validation error 10.000000 %, cost 0.555957
('training @ iter = ', 700)
epoch 117, minibatch 6/6, validation error 10.000000 %, cost 0.553654
epoch 118, minibatch 6/6, validation error 10.000000 %, cost 0.537366
epoch 119, minibatch 6/6, validation error 10.000000 %, cost 0.569270
epoch 120, minibatch 6/6, validation error 10.000000 %, cost 0.548646
epoch 121, minibatch 6/6, validation error 10.000000 %, cost 0.493700
epoch 122, minibatch 6/6, validation error 10.000000 %, cost 0.504429
epoch 123, minibatch 6/6, validation error 5.000000 %, cost 0.444772
epoch 124, minibatch 6/6, validation error 5.000000 %, cost 0.330608
epoch 125, minibatch 6/6, validation error 10.000000 %, cost 0.522980
epoch 126, minibatch 6/6, validation error 5.000000 %, cost 0.369037
epoch 127, minibatch 6/6, validation error 5.000000 %, cost 0.324306
epoch 128, minibatch 6/6, validation error 10.000000 %, cost 0.414246
epoch 129, minibatch 6/6, validation error 5.000000 %, cost 0.269845
epoch 130, minibatch 6/6, validation error 10.000000 %, cost 0.270592
epoch 131, minibatch 6/6, validation error 10.000000 %, cost 0.301843
epoch 132, minibatch 6/6, validation error 15.000000 %, cost 0.474864
epoch 133, minibatch 6/6, validation error 10.000000 %, cost 0.302817
('training @ iter = ', 800)
epoch 134, minibatch 6/6, validation error 10.000000 %, cost 0.215508
epoch 135, minibatch 6/6, validation error 10.000000 %, cost 0.906408
epoch 136, minibatch 6/6, validation error 10.000000 %, cost 0.556532
epoch 137, minibatch 6/6, validation error 15.000000 %, cost 0.496597
epoch 138, minibatch 6/6, validation error 15.000000 %, cost 0.504712
