In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 35.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 35.000000 %, cost 2.084593
epoch 3, minibatch 1/1, validation error 35.000000 %, cost 1.398872
epoch 4, minibatch 1/1, validation error 35.000000 %, cost 0.941043
epoch 5, minibatch 1/1, validation error 35.000000 %, cost 0.531098
epoch 6, minibatch 1/1, validation error 35.000000 %, cost 0.354793
epoch 7, minibatch 1/1, validation error 35.000000 %, cost 0.536187
epoch 8, minibatch 1/1, validation error 35.000000 %, cost 0.355269
epoch 9, minibatch 1/1, validation error 35.000000 %, cost 0.570140
epoch 10, minibatch 1/1, validation error 35.000000 %, cost 0.343583
epoch 11, minibatch 1/1, validation error 35.000000 %, cost 0.403686
epoch 12, minibatch 1/1, validation error 35.000000 %, cost 0.456616
epoch 13, minibatch 1/1, validation error 35.000000 %, cost 0.940357
epoch 14, minibatch 1/1, validation error 35.000000 %, cost 0.548318
epoch 15, minibatch 1/1, validation error 35.000000 %, cost 0.332904
epoch 16, minibatch 1/1, validation error 35.000000 %, cost 0.355787
epoch 17, minibatch 1/1, validation error 35.000000 %, cost 0.425742
epoch 18, minibatch 1/1, validation error 35.000000 %, cost 0.722758
epoch 19, minibatch 1/1, validation error 35.000000 %, cost 0.382445
epoch 20, minibatch 1/1, validation error 35.000000 %, cost 0.450317
epoch 21, minibatch 1/1, validation error 35.000000 %, cost 0.819694
epoch 22, minibatch 1/1, validation error 35.000000 %, cost 0.455930
epoch 23, minibatch 1/1, validation error 35.000000 %, cost 0.369096
epoch 24, minibatch 1/1, validation error 35.000000 %, cost 0.550010
epoch 25, minibatch 1/1, validation error 35.000000 %, cost 0.336050
epoch 26, minibatch 1/1, validation error 35.000000 %, cost 0.344687
epoch 27, minibatch 1/1, validation error 35.000000 %, cost 0.385276
epoch 28, minibatch 1/1, validation error 35.000000 %, cost 0.599990
epoch 29, minibatch 1/1, validation error 35.000000 %, cost 0.328059
epoch 30, minibatch 1/1, validation error 35.000000 %, cost 0.310694
epoch 31, minibatch 1/1, validation error 35.000000 %, cost 0.336448
epoch 32, minibatch 1/1, validation error 35.000000 %, cost 0.386333
epoch 33, minibatch 1/1, validation error 35.000000 %, cost 0.583428
epoch 34, minibatch 1/1, validation error 35.000000 %, cost 0.329099
