In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 35.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 35.000000 %, cost 0.327199
epoch 3, minibatch 1/1, validation error 35.000000 %, cost 0.322895
epoch 4, minibatch 1/1, validation error 35.000000 %, cost 0.323245
epoch 5, minibatch 1/1, validation error 35.000000 %, cost 0.324069
epoch 6, minibatch 1/1, validation error 35.000000 %, cost 0.327095
epoch 7, minibatch 1/1, validation error 35.000000 %, cost 0.329743
epoch 8, minibatch 1/1, validation error 35.000000 %, cost 0.320283
epoch 9, minibatch 1/1, validation error 35.000000 %, cost 0.327555
epoch 10, minibatch 1/1, validation error 35.000000 %, cost 0.323149
epoch 11, minibatch 1/1, validation error 35.000000 %, cost 0.327026
epoch 12, minibatch 1/1, validation error 35.000000 %, cost 0.322012
epoch 13, minibatch 1/1, validation error 35.000000 %, cost 0.325203
epoch 14, minibatch 1/1, validation error 35.000000 %, cost 0.327666
epoch 15, minibatch 1/1, validation error 35.000000 %, cost 0.327578
epoch 16, minibatch 1/1, validation error 35.000000 %, cost 0.324481
epoch 17, minibatch 1/1, validation error 35.000000 %, cost 0.329891
epoch 18, minibatch 1/1, validation error 35.000000 %, cost 0.323161
epoch 19, minibatch 1/1, validation error 35.000000 %, cost 0.325876
