In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 40.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 40.000000 %, cost 0.419236
epoch 3, minibatch 1/1, validation error 40.000000 %, cost 0.421870
epoch 4, minibatch 1/1, validation error 40.000000 %, cost 0.420217
epoch 5, minibatch 1/1, validation error 40.000000 %, cost 0.420816
epoch 6, minibatch 1/1, validation error 40.000000 %, cost 0.420651
epoch 7, minibatch 1/1, validation error 40.000000 %, cost 0.419476
epoch 8, minibatch 1/1, validation error 40.000000 %, cost 0.423780
epoch 9, minibatch 1/1, validation error 40.000000 %, cost 0.422085
epoch 10, minibatch 1/1, validation error 40.000000 %, cost 0.422021
epoch 11, minibatch 1/1, validation error 40.000000 %, cost 0.420922
epoch 12, minibatch 1/1, validation error 40.000000 %, cost 0.421464
epoch 13, minibatch 1/1, validation error 40.000000 %, cost 0.428345
epoch 14, minibatch 1/1, validation error 40.000000 %, cost 0.422245
epoch 15, minibatch 1/1, validation error 40.000000 %, cost 0.422234
epoch 16, minibatch 1/1, validation error 40.000000 %, cost 0.426843
epoch 17, minibatch 1/1, validation error 40.000000 %, cost 0.426943
epoch 18, minibatch 1/1, validation error 40.000000 %, cost 0.424001
epoch 19, minibatch 1/1, validation error 40.000000 %, cost 0.428781
epoch 20, minibatch 1/1, validation error 40.000000 %, cost 0.422314
epoch 21, minibatch 1/1, validation error 40.000000 %, cost 0.422621
epoch 22, minibatch 1/1, validation error 40.000000 %, cost 0.419146
epoch 23, minibatch 1/1, validation error 40.000000 %, cost 0.418811
epoch 24, minibatch 1/1, validation error 40.000000 %, cost 0.429550
epoch 25, minibatch 1/1, validation error 40.000000 %, cost 0.420667
epoch 26, minibatch 1/1, validation error 40.000000 %, cost 0.421577
epoch 27, minibatch 1/1, validation error 40.000000 %, cost 0.418182
epoch 28, minibatch 1/1, validation error 40.000000 %, cost 0.422165
epoch 29, minibatch 1/1, validation error 40.000000 %, cost 0.424659
epoch 30, minibatch 1/1, validation error 40.000000 %, cost 0.423525
epoch 31, minibatch 1/1, validation error 40.000000 %, cost 0.423901
epoch 32, minibatch 1/1, validation error 40.000000 %, cost 0.424629
epoch 33, minibatch 1/1, validation error 40.000000 %, cost 0.421277
epoch 34, minibatch 1/1, validation error 40.000000 %, cost 0.425981
epoch 35, minibatch 1/1, validation error 40.000000 %, cost 0.426139
epoch 36, minibatch 1/1, validation error 40.000000 %, cost 0.426381
epoch 37, minibatch 1/1, validation error 40.000000 %, cost 0.425016
epoch 38, minibatch 1/1, validation error 40.000000 %, cost 0.420598
epoch 39, minibatch 1/1, validation error 40.000000 %, cost 0.420933
epoch 40, minibatch 1/1, validation error 40.000000 %, cost 0.420382
epoch 41, minibatch 1/1, validation error 40.000000 %, cost 0.418430
epoch 42, minibatch 1/1, validation error 40.000000 %, cost 0.417457
epoch 43, minibatch 1/1, validation error 40.000000 %, cost 0.419591
epoch 44, minibatch 1/1, validation error 40.000000 %, cost 0.419449
epoch 45, minibatch 1/1, validation error 40.000000 %, cost 0.416840
epoch 46, minibatch 1/1, validation error 40.000000 %, cost 0.424314
epoch 47, minibatch 1/1, validation error 40.000000 %, cost 0.418506
epoch 48, minibatch 1/1, validation error 40.000000 %, cost 0.418169
epoch 49, minibatch 1/1, validation error 40.000000 %, cost 0.420288
epoch 50, minibatch 1/1, validation error 40.000000 %, cost 0.421390
epoch 51, minibatch 1/1, validation error 40.000000 %, cost 0.425638
epoch 52, minibatch 1/1, validation error 40.000000 %, cost 0.425124
epoch 53, minibatch 1/1, validation error 40.000000 %, cost 0.420519
epoch 54, minibatch 1/1, validation error 40.000000 %, cost 0.424423
epoch 55, minibatch 1/1, validation error 40.000000 %, cost 0.422141
epoch 56, minibatch 1/1, validation error 40.000000 %, cost 0.430819
epoch 57, minibatch 1/1, validation error 40.000000 %, cost 0.433903
epoch 58, minibatch 1/1, validation error 40.000000 %, cost 0.420646
epoch 59, minibatch 1/1, validation error 40.000000 %, cost 0.419931
epoch 60, minibatch 1/1, validation error 40.000000 %, cost 0.416815
epoch 61, minibatch 1/1, validation error 40.000000 %, cost 0.425323
epoch 62, minibatch 1/1, validation error 40.000000 %, cost 0.423906
epoch 63, minibatch 1/1, validation error 40.000000 %, cost 0.427508
epoch 64, minibatch 1/1, validation error 40.000000 %, cost 0.427105
epoch 65, minibatch 1/1, validation error 40.000000 %, cost 0.428599
epoch 66, minibatch 1/1, validation error 40.000000 %, cost 0.426698
epoch 67, minibatch 1/1, validation error 40.000000 %, cost 0.427136
epoch 68, minibatch 1/1, validation error 40.000000 %, cost 0.424562
epoch 69, minibatch 1/1, validation error 40.000000 %, cost 0.422927
epoch 70, minibatch 1/1, validation error 40.000000 %, cost 0.426404
epoch 71, minibatch 1/1, validation error 40.000000 %, cost 0.426364
epoch 72, minibatch 1/1, validation error 40.000000 %, cost 0.419305
epoch 73, minibatch 1/1, validation error 40.000000 %, cost 0.422094
epoch 74, minibatch 1/1, validation error 40.000000 %, cost 0.417383
epoch 75, minibatch 1/1, validation error 40.000000 %, cost 0.422200
epoch 76, minibatch 1/1, validation error 40.000000 %, cost 0.420366
epoch 77, minibatch 1/1, validation error 40.000000 %, cost 0.421380
epoch 78, minibatch 1/1, validation error 40.000000 %, cost 0.427165
epoch 79, minibatch 1/1, validation error 40.000000 %, cost 0.419663
epoch 80, minibatch 1/1, validation error 40.000000 %, cost 0.424011
epoch 81, minibatch 1/1, validation error 40.000000 %, cost 0.420156
epoch 82, minibatch 1/1, validation error 40.000000 %, cost 0.414140
epoch 83, minibatch 1/1, validation error 40.000000 %, cost 0.416676
epoch 84, minibatch 1/1, validation error 40.000000 %, cost 0.424267
epoch 85, minibatch 1/1, validation error 40.000000 %, cost 0.426739
epoch 86, minibatch 1/1, validation error 40.000000 %, cost 0.417658
epoch 87, minibatch 1/1, validation error 40.000000 %, cost 0.421317
epoch 88, minibatch 1/1, validation error 40.000000 %, cost 0.428537
epoch 89, minibatch 1/1, validation error 40.000000 %, cost 0.420553
epoch 90, minibatch 1/1, validation error 40.000000 %, cost 0.421259
epoch 91, minibatch 1/1, validation error 40.000000 %, cost 0.420402
epoch 92, minibatch 1/1, validation error 40.000000 %, cost 0.428928
epoch 93, minibatch 1/1, validation error 40.000000 %, cost 0.422312
epoch 94, minibatch 1/1, validation error 40.000000 %, cost 0.416105
epoch 95, minibatch 1/1, validation error 40.000000 %, cost 0.420502
epoch 96, minibatch 1/1, validation error 40.000000 %, cost 0.422852
epoch 97, minibatch 1/1, validation error 40.000000 %, cost 0.423272
epoch 98, minibatch 1/1, validation error 40.000000 %, cost 0.418464
epoch 99, minibatch 1/1, validation error 40.000000 %, cost 0.420423
epoch 100, minibatch 1/1, validation error 40.000000 %, cost 0.420895
('training @ iter = ', 100)
epoch 101, minibatch 1/1, validation error 40.000000 %, cost 0.425710
epoch 102, minibatch 1/1, validation error 40.000000 %, cost 0.417776
epoch 103, minibatch 1/1, validation error 40.000000 %, cost 0.425452
epoch 104, minibatch 1/1, validation error 40.000000 %, cost 0.419796
epoch 105, minibatch 1/1, validation error 40.000000 %, cost 0.418867
epoch 106, minibatch 1/1, validation error 40.000000 %, cost 0.423122
epoch 107, minibatch 1/1, validation error 40.000000 %, cost 0.424288
epoch 108, minibatch 1/1, validation error 40.000000 %, cost 0.420915
epoch 109, minibatch 1/1, validation error 40.000000 %, cost 0.423758
epoch 110, minibatch 1/1, validation error 40.000000 %, cost 0.427138
epoch 111, minibatch 1/1, validation error 40.000000 %, cost 0.424869
epoch 112, minibatch 1/1, validation error 40.000000 %, cost 0.416334
epoch 113, minibatch 1/1, validation error 40.000000 %, cost 0.425400
epoch 114, minibatch 1/1, validation error 40.000000 %, cost 0.422804
epoch 115, minibatch 1/1, validation error 40.000000 %, cost 0.422669
epoch 116, minibatch 1/1, validation error 40.000000 %, cost 0.423944
epoch 117, minibatch 1/1, validation error 40.000000 %, cost 0.426193
epoch 118, minibatch 1/1, validation error 40.000000 %, cost 0.430956
epoch 119, minibatch 1/1, validation error 40.000000 %, cost 0.411555
epoch 120, minibatch 1/1, validation error 40.000000 %, cost 0.425242
epoch 121, minibatch 1/1, validation error 40.000000 %, cost 0.427324
epoch 122, minibatch 1/1, validation error 40.000000 %, cost 0.425059
epoch 123, minibatch 1/1, validation error 40.000000 %, cost 0.421407
epoch 124, minibatch 1/1, validation error 40.000000 %, cost 0.431001
