In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 40.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 40.000000 %, cost 2.682484
epoch 3, minibatch 1/1, validation error 40.000000 %, cost 1.408958
epoch 4, minibatch 1/1, validation error 60.000000 %, cost 0.485865
epoch 5, minibatch 1/1, validation error 40.000000 %, cost 1.189176
epoch 6, minibatch 1/1, validation error 40.000000 %, cost 3.394219
epoch 7, minibatch 1/1, validation error 40.000000 %, cost 2.342392
epoch 8, minibatch 1/1, validation error 40.000000 %, cost 1.484672
epoch 9, minibatch 1/1, validation error 60.000000 %, cost 0.715274
epoch 10, minibatch 1/1, validation error 40.000000 %, cost 0.734873
epoch 11, minibatch 1/1, validation error 40.000000 %, cost 1.873144
epoch 12, minibatch 1/1, validation error 40.000000 %, cost 1.102856
epoch 13, minibatch 1/1, validation error 60.000000 %, cost 0.483262
epoch 14, minibatch 1/1, validation error 40.000000 %, cost 0.668612
epoch 15, minibatch 1/1, validation error 40.000000 %, cost 1.499079
epoch 16, minibatch 1/1, validation error 40.000000 %, cost 0.821952
epoch 17, minibatch 1/1, validation error 40.000000 %, cost 0.485817
epoch 18, minibatch 1/1, validation error 40.000000 %, cost 0.735385
epoch 19, minibatch 1/1, validation error 40.000000 %, cost 0.519708
epoch 20, minibatch 1/1, validation error 40.000000 %, cost 0.914635
epoch 21, minibatch 1/1, validation error 40.000000 %, cost 0.435436
epoch 22, minibatch 1/1, validation error 40.000000 %, cost 0.410506
epoch 23, minibatch 1/1, validation error 40.000000 %, cost 0.440915
epoch 24, minibatch 1/1, validation error 40.000000 %, cost 0.578770
epoch 25, minibatch 1/1, validation error 40.000000 %, cost 1.018198
epoch 26, minibatch 1/1, validation error 40.000000 %, cost 0.459266
epoch 27, minibatch 1/1, validation error 40.000000 %, cost 0.559762
epoch 28, minibatch 1/1, validation error 40.000000 %, cost 1.055894
epoch 29, minibatch 1/1, validation error 40.000000 %, cost 0.473805
epoch 30, minibatch 1/1, validation error 40.000000 %, cost 0.575976
epoch 31, minibatch 1/1, validation error 40.000000 %, cost 1.070369
epoch 32, minibatch 1/1, validation error 40.000000 %, cost 0.487155
epoch 33, minibatch 1/1, validation error 40.000000 %, cost 0.542168
epoch 34, minibatch 1/1, validation error 40.000000 %, cost 0.985620
epoch 35, minibatch 1/1, validation error 40.000000 %, cost 0.479657
epoch 36, minibatch 1/1, validation error 40.000000 %, cost 0.530121
epoch 37, minibatch 1/1, validation error 40.000000 %, cost 0.824056
epoch 38, minibatch 1/1, validation error 40.000000 %, cost 0.429997
epoch 39, minibatch 1/1, validation error 40.000000 %, cost 0.412938
epoch 40, minibatch 1/1, validation error 40.000000 %, cost 0.446097
epoch 41, minibatch 1/1, validation error 40.000000 %, cost 0.443975
epoch 42, minibatch 1/1, validation error 40.000000 %, cost 0.485490
epoch 43, minibatch 1/1, validation error 40.000000 %, cost 0.528802
epoch 44, minibatch 1/1, validation error 40.000000 %, cost 0.923457
epoch 45, minibatch 1/1, validation error 40.000000 %, cost 0.416667
epoch 46, minibatch 1/1, validation error 40.000000 %, cost 0.467593
epoch 47, minibatch 1/1, validation error 40.000000 %, cost 0.626623
epoch 48, minibatch 1/1, validation error 40.000000 %, cost 0.458982
epoch 49, minibatch 1/1, validation error 40.000000 %, cost 0.608602
epoch 50, minibatch 1/1, validation error 40.000000 %, cost 0.488476
epoch 51, minibatch 1/1, validation error 40.000000 %, cost 0.687433
epoch 52, minibatch 1/1, validation error 40.000000 %, cost 0.438872
epoch 53, minibatch 1/1, validation error 40.000000 %, cost 0.482693
epoch 54, minibatch 1/1, validation error 40.000000 %, cost 0.546891
epoch 55, minibatch 1/1, validation error 40.000000 %, cost 0.841563
epoch 56, minibatch 1/1, validation error 40.000000 %, cost 0.433836
epoch 57, minibatch 1/1, validation error 40.000000 %, cost 0.457049
epoch 58, minibatch 1/1, validation error 40.000000 %, cost 0.495334
epoch 59, minibatch 1/1, validation error 40.000000 %, cost 0.511188
epoch 60, minibatch 1/1, validation error 40.000000 %, cost 0.674491
epoch 61, minibatch 1/1, validation error 40.000000 %, cost 0.485161
epoch 62, minibatch 1/1, validation error 40.000000 %, cost 0.474762
epoch 63, minibatch 1/1, validation error 40.000000 %, cost 0.518779
epoch 64, minibatch 1/1, validation error 40.000000 %, cost 0.733838
epoch 65, minibatch 1/1, validation error 40.000000 %, cost 0.437389
epoch 66, minibatch 1/1, validation error 40.000000 %, cost 0.454404
epoch 67, minibatch 1/1, validation error 40.000000 %, cost 0.462957
epoch 68, minibatch 1/1, validation error 40.000000 %, cost 0.454257
epoch 69, minibatch 1/1, validation error 40.000000 %, cost 0.428082
epoch 70, minibatch 1/1, validation error 40.000000 %, cost 0.472203
epoch 71, minibatch 1/1, validation error 40.000000 %, cost 0.528010
epoch 72, minibatch 1/1, validation error 40.000000 %, cost 0.659002
epoch 73, minibatch 1/1, validation error 40.000000 %, cost 0.394302
epoch 74, minibatch 1/1, validation error 40.000000 %, cost 0.412284
epoch 75, minibatch 1/1, validation error 40.000000 %, cost 0.429799
epoch 76, minibatch 1/1, validation error 40.000000 %, cost 0.408219
epoch 77, minibatch 1/1, validation error 40.000000 %, cost 0.439428
epoch 78, minibatch 1/1, validation error 40.000000 %, cost 0.454417
epoch 79, minibatch 1/1, validation error 40.000000 %, cost 0.488575
epoch 80, minibatch 1/1, validation error 40.000000 %, cost 0.675155
epoch 81, minibatch 1/1, validation error 40.000000 %, cost 0.424444
epoch 82, minibatch 1/1, validation error 40.000000 %, cost 0.424084
epoch 83, minibatch 1/1, validation error 40.000000 %, cost 0.414181
epoch 84, minibatch 1/1, validation error 40.000000 %, cost 0.545073
epoch 85, minibatch 1/1, validation error 40.000000 %, cost 0.489892
epoch 86, minibatch 1/1, validation error 40.000000 %, cost 0.535932
epoch 87, minibatch 1/1, validation error 40.000000 %, cost 0.416299
