In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 49152), (20, 49152), (20, 49152))
((20,), (20,), (20,))
(49152,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 10.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 10.000000 %, cost 5.003958
epoch 3, minibatch 1/1, validation error 10.000000 %, cost 0.691708
epoch 4, minibatch 1/1, validation error 90.000000 %, cost 4.974984
epoch 5, minibatch 1/1, validation error 10.000000 %, cost 0.728032
epoch 6, minibatch 1/1, validation error 10.000000 %, cost 5.619605
epoch 7, minibatch 1/1, validation error 90.000000 %, cost 0.705109
epoch 8, minibatch 1/1, validation error 10.000000 %, cost 8.580204
epoch 9, minibatch 1/1, validation error 10.000000 %, cost 12.116877
epoch 10, minibatch 1/1, validation error 10.000000 %, cost 7.111464
epoch 11, minibatch 1/1, validation error 90.000000 %, cost 2.139614
epoch 12, minibatch 1/1, validation error 10.000000 %, cost 8.482635
epoch 13, minibatch 1/1, validation error 10.000000 %, cost 12.071073
epoch 14, minibatch 1/1, validation error 10.000000 %, cost 7.101628
epoch 15, minibatch 1/1, validation error 90.000000 %, cost 2.150508
epoch 16, minibatch 1/1, validation error 10.000000 %, cost 8.361593
epoch 17, minibatch 1/1, validation error 10.000000 %, cost 12.029247
epoch 18, minibatch 1/1, validation error 10.000000 %, cost 7.094032
epoch 19, minibatch 1/1, validation error 90.000000 %, cost 2.153746
epoch 20, minibatch 1/1, validation error 10.000000 %, cost 8.281681
epoch 21, minibatch 1/1, validation error 10.000000 %, cost 11.967896
epoch 22, minibatch 1/1, validation error 10.000000 %, cost 7.062740
epoch 23, minibatch 1/1, validation error 90.000000 %, cost 2.157545
epoch 24, minibatch 1/1, validation error 10.000000 %, cost 8.172539
epoch 25, minibatch 1/1, validation error 10.000000 %, cost 11.921393
epoch 26, minibatch 1/1, validation error 10.000000 %, cost 7.031493
epoch 27, minibatch 1/1, validation error 90.000000 %, cost 2.168353
epoch 28, minibatch 1/1, validation error 10.000000 %, cost 8.026548
epoch 29, minibatch 1/1, validation error 10.000000 %, cost 11.862540
epoch 30, minibatch 1/1, validation error 10.000000 %, cost 6.993634
epoch 31, minibatch 1/1, validation error 90.000000 %, cost 2.166474
epoch 32, minibatch 1/1, validation error 10.000000 %, cost 7.920291
epoch 33, minibatch 1/1, validation error 10.000000 %, cost 11.763723
epoch 34, minibatch 1/1, validation error 10.000000 %, cost 6.966539
epoch 35, minibatch 1/1, validation error 90.000000 %, cost 2.190127
epoch 36, minibatch 1/1, validation error 10.000000 %, cost 7.707747
epoch 37, minibatch 1/1, validation error 10.000000 %, cost 11.668086
epoch 38, minibatch 1/1, validation error 10.000000 %, cost 6.924652
epoch 39, minibatch 1/1, validation error 90.000000 %, cost 2.193549
epoch 40, minibatch 1/1, validation error 10.000000 %, cost 7.493483
epoch 41, minibatch 1/1, validation error 10.000000 %, cost 11.537146
epoch 42, minibatch 1/1, validation error 10.000000 %, cost 6.842590
epoch 43, minibatch 1/1, validation error 90.000000 %, cost 2.231541
epoch 44, minibatch 1/1, validation error 10.000000 %, cost 7.111342
epoch 45, minibatch 1/1, validation error 10.000000 %, cost 11.426585
epoch 46, minibatch 1/1, validation error 10.000000 %, cost 6.770850
epoch 47, minibatch 1/1, validation error 90.000000 %, cost 2.236642
epoch 48, minibatch 1/1, validation error 10.000000 %, cost 6.845665
epoch 49, minibatch 1/1, validation error 10.000000 %, cost 11.186439
epoch 50, minibatch 1/1, validation error 10.000000 %, cost 6.673715
epoch 51, minibatch 1/1, validation error 90.000000 %, cost 2.251817
epoch 52, minibatch 1/1, validation error 10.000000 %, cost 6.432967
epoch 53, minibatch 1/1, validation error 10.000000 %, cost 10.889631
epoch 54, minibatch 1/1, validation error 10.000000 %, cost 6.504701
epoch 55, minibatch 1/1, validation error 90.000000 %, cost 2.247655
epoch 56, minibatch 1/1, validation error 10.000000 %, cost 5.763052
epoch 57, minibatch 1/1, validation error 10.000000 %, cost 10.533157
epoch 58, minibatch 1/1, validation error 10.000000 %, cost 6.238238
epoch 59, minibatch 1/1, validation error 90.000000 %, cost 2.253468
epoch 60, minibatch 1/1, validation error 10.000000 %, cost 5.048062
epoch 61, minibatch 1/1, validation error 10.000000 %, cost 9.936003
epoch 62, minibatch 1/1, validation error 10.000000 %, cost 5.893037
epoch 63, minibatch 1/1, validation error 90.000000 %, cost 2.163143
epoch 64, minibatch 1/1, validation error 10.000000 %, cost 4.178779
epoch 65, minibatch 1/1, validation error 10.000000 %, cost 8.986200
epoch 66, minibatch 1/1, validation error 10.000000 %, cost 5.262873
epoch 67, minibatch 1/1, validation error 90.000000 %, cost 2.059204
epoch 68, minibatch 1/1, validation error 10.000000 %, cost 2.882896
epoch 69, minibatch 1/1, validation error 10.000000 %, cost 7.577044
epoch 70, minibatch 1/1, validation error 10.000000 %, cost 4.320800
epoch 71, minibatch 1/1, validation error 90.000000 %, cost 1.725021
epoch 72, minibatch 1/1, validation error 10.000000 %, cost 2.375911
epoch 73, minibatch 1/1, validation error 10.000000 %, cost 5.808446
epoch 74, minibatch 1/1, validation error 10.000000 %, cost 3.252827
epoch 75, minibatch 1/1, validation error 90.000000 %, cost 1.215381
epoch 76, minibatch 1/1, validation error 10.000000 %, cost 1.836470
epoch 77, minibatch 1/1, validation error 10.000000 %, cost 3.958057
epoch 78, minibatch 1/1, validation error 10.000000 %, cost 1.931640
epoch 79, minibatch 1/1, validation error 90.000000 %, cost 0.585853
epoch 80, minibatch 1/1, validation error 10.000000 %, cost 0.856132
epoch 81, minibatch 1/1, validation error 10.000000 %, cost 1.668959
epoch 82, minibatch 1/1, validation error 90.000000 %, cost 0.570652
epoch 83, minibatch 1/1, validation error 10.000000 %, cost 0.625194
epoch 84, minibatch 1/1, validation error 90.000000 %, cost 0.862564
epoch 85, minibatch 1/1, validation error 10.000000 %, cost 0.920403
epoch 86, minibatch 1/1, validation error 10.000000 %, cost 1.615769
epoch 87, minibatch 1/1, validation error 90.000000 %, cost 0.635723
epoch 88, minibatch 1/1, validation error 10.000000 %, cost 0.718522
epoch 89, minibatch 1/1, validation error 90.000000 %, cost 1.048160
epoch 90, minibatch 1/1, validation error 10.000000 %, cost 0.627613
epoch 91, minibatch 1/1, validation error 90.000000 %, cost 0.737200
epoch 92, minibatch 1/1, validation error 10.000000 %, cost 0.711880
epoch 93, minibatch 1/1, validation error 90.000000 %, cost 0.941906
epoch 94, minibatch 1/1, validation error 10.000000 %, cost 0.595085
epoch 95, minibatch 1/1, validation error 90.000000 %, cost 0.604074
epoch 96, minibatch 1/1, validation error 10.000000 %, cost 0.626955
