In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 65536), (20, 65536), (20, 65536))
((20,), (20,), (20,))
(65536,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 40.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 40.000000 %, cost 0.567609
epoch 3, minibatch 1/1, validation error 40.000000 %, cost 0.559140
epoch 4, minibatch 1/1, validation error 40.000000 %, cost 0.564668
epoch 5, minibatch 1/1, validation error 40.000000 %, cost 0.564858
epoch 6, minibatch 1/1, validation error 40.000000 %, cost 0.565127
epoch 7, minibatch 1/1, validation error 40.000000 %, cost 0.560417
epoch 8, minibatch 1/1, validation error 40.000000 %, cost 0.562481
epoch 9, minibatch 1/1, validation error 40.000000 %, cost 0.562147
epoch 10, minibatch 1/1, validation error 40.000000 %, cost 0.566842
epoch 11, minibatch 1/1, validation error 40.000000 %, cost 0.564082
epoch 12, minibatch 1/1, validation error 40.000000 %, cost 0.567002
epoch 13, minibatch 1/1, validation error 40.000000 %, cost 0.563937
epoch 14, minibatch 1/1, validation error 40.000000 %, cost 0.559611
epoch 15, minibatch 1/1, validation error 40.000000 %, cost 0.568174
epoch 16, minibatch 1/1, validation error 40.000000 %, cost 0.564962
epoch 17, minibatch 1/1, validation error 40.000000 %, cost 0.559092
epoch 18, minibatch 1/1, validation error 40.000000 %, cost 0.556251
epoch 19, minibatch 1/1, validation error 40.000000 %, cost 0.563361
epoch 20, minibatch 1/1, validation error 40.000000 %, cost 0.560597
epoch 21, minibatch 1/1, validation error 40.000000 %, cost 0.559226
epoch 22, minibatch 1/1, validation error 40.000000 %, cost 0.558107
epoch 23, minibatch 1/1, validation error 40.000000 %, cost 0.561634
epoch 24, minibatch 1/1, validation error 40.000000 %, cost 0.561294
epoch 25, minibatch 1/1, validation error 40.000000 %, cost 0.554494
epoch 26, minibatch 1/1, validation error 40.000000 %, cost 0.565008
epoch 27, minibatch 1/1, validation error 40.000000 %, cost 0.560120
epoch 28, minibatch 1/1, validation error 40.000000 %, cost 0.566251
epoch 29, minibatch 1/1, validation error 40.000000 %, cost 0.559662
epoch 30, minibatch 1/1, validation error 40.000000 %, cost 0.565082
epoch 31, minibatch 1/1, validation error 40.000000 %, cost 0.565787
epoch 32, minibatch 1/1, validation error 40.000000 %, cost 0.560756
epoch 33, minibatch 1/1, validation error 40.000000 %, cost 0.563044
epoch 34, minibatch 1/1, validation error 40.000000 %, cost 0.560845
epoch 35, minibatch 1/1, validation error 40.000000 %, cost 0.562156
epoch 36, minibatch 1/1, validation error 40.000000 %, cost 0.558591
epoch 37, minibatch 1/1, validation error 40.000000 %, cost 0.551638
epoch 38, minibatch 1/1, validation error 40.000000 %, cost 0.568653
epoch 39, minibatch 1/1, validation error 40.000000 %, cost 0.562105
epoch 40, minibatch 1/1, validation error 40.000000 %, cost 0.566966
epoch 41, minibatch 1/1, validation error 40.000000 %, cost 0.561132
epoch 42, minibatch 1/1, validation error 40.000000 %, cost 0.567552
epoch 43, minibatch 1/1, validation error 40.000000 %, cost 0.557613
epoch 44, minibatch 1/1, validation error 40.000000 %, cost 0.561613
epoch 45, minibatch 1/1, validation error 40.000000 %, cost 0.563567
epoch 46, minibatch 1/1, validation error 40.000000 %, cost 0.561733
epoch 47, minibatch 1/1, validation error 40.000000 %, cost 0.553937
epoch 48, minibatch 1/1, validation error 40.000000 %, cost 0.567865
epoch 49, minibatch 1/1, validation error 40.000000 %, cost 0.550808
epoch 50, minibatch 1/1, validation error 40.000000 %, cost 0.575600
epoch 51, minibatch 1/1, validation error 40.000000 %, cost 0.560268
epoch 52, minibatch 1/1, validation error 40.000000 %, cost 0.555429
epoch 53, minibatch 1/1, validation error 40.000000 %, cost 0.559256
epoch 54, minibatch 1/1, validation error 40.000000 %, cost 0.561182
epoch 55, minibatch 1/1, validation error 40.000000 %, cost 0.566841
epoch 56, minibatch 1/1, validation error 40.000000 %, cost 0.566271
epoch 57, minibatch 1/1, validation error 40.000000 %, cost 0.555016
epoch 58, minibatch 1/1, validation error 40.000000 %, cost 0.565499
epoch 59, minibatch 1/1, validation error 40.000000 %, cost 0.560929
epoch 60, minibatch 1/1, validation error 40.000000 %, cost 0.568687
epoch 61, minibatch 1/1, validation error 40.000000 %, cost 0.556737
epoch 62, minibatch 1/1, validation error 40.000000 %, cost 0.562743
epoch 63, minibatch 1/1, validation error 40.000000 %, cost 0.558483
epoch 64, minibatch 1/1, validation error 40.000000 %, cost 0.558446
epoch 65, minibatch 1/1, validation error 40.000000 %, cost 0.559146
epoch 66, minibatch 1/1, validation error 40.000000 %, cost 0.557279
epoch 67, minibatch 1/1, validation error 40.000000 %, cost 0.563950
epoch 68, minibatch 1/1, validation error 40.000000 %, cost 0.562711
epoch 69, minibatch 1/1, validation error 40.000000 %, cost 0.554836
epoch 70, minibatch 1/1, validation error 40.000000 %, cost 0.559571
epoch 71, minibatch 1/1, validation error 40.000000 %, cost 0.562621
epoch 72, minibatch 1/1, validation error 40.000000 %, cost 0.557854
epoch 73, minibatch 1/1, validation error 40.000000 %, cost 0.566167
epoch 74, minibatch 1/1, validation error 40.000000 %, cost 0.556004
epoch 75, minibatch 1/1, validation error 40.000000 %, cost 0.557107
epoch 76, minibatch 1/1, validation error 40.000000 %, cost 0.558018
epoch 77, minibatch 1/1, validation error 40.000000 %, cost 0.560983
epoch 78, minibatch 1/1, validation error 40.000000 %, cost 0.552086
epoch 79, minibatch 1/1, validation error 40.000000 %, cost 0.556798
epoch 80, minibatch 1/1, validation error 40.000000 %, cost 0.553809
epoch 81, minibatch 1/1, validation error 40.000000 %, cost 0.550255
epoch 82, minibatch 1/1, validation error 40.000000 %, cost 0.562657
epoch 83, minibatch 1/1, validation error 40.000000 %, cost 0.561308
epoch 84, minibatch 1/1, validation error 40.000000 %, cost 0.556879
epoch 85, minibatch 1/1, validation error 40.000000 %, cost 0.563803
epoch 86, minibatch 1/1, validation error 40.000000 %, cost 0.551112
epoch 87, minibatch 1/1, validation error 40.000000 %, cost 0.566642
epoch 88, minibatch 1/1, validation error 40.000000 %, cost 0.558262
epoch 89, minibatch 1/1, validation error 40.000000 %, cost 0.560851
