In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((20, 65536), (20, 65536), (20, 65536))
((20,), (20,), (20,))
(65536,)
n_train_samples: 20
n_valid_samples: 20
n_test_samples: 20
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 40.000000 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 40.000000 %, cost 3.218220
epoch 3, minibatch 1/1, validation error 40.000000 %, cost 0.651310
epoch 4, minibatch 1/1, validation error 60.000000 %, cost 2.287689
epoch 5, minibatch 1/1, validation error 40.000000 %, cost 1.086160
epoch 6, minibatch 1/1, validation error 40.000000 %, cost 4.390108
epoch 7, minibatch 1/1, validation error 60.000000 %, cost 1.837872
epoch 8, minibatch 1/1, validation error 40.000000 %, cost 1.146745
epoch 9, minibatch 1/1, validation error 40.000000 %, cost 3.964968
epoch 10, minibatch 1/1, validation error 60.000000 %, cost 1.782899
epoch 11, minibatch 1/1, validation error 40.000000 %, cost 0.821657
epoch 12, minibatch 1/1, validation error 40.000000 %, cost 2.453405
epoch 13, minibatch 1/1, validation error 60.000000 %, cost 0.676625
epoch 14, minibatch 1/1, validation error 40.000000 %, cost 1.612754
epoch 15, minibatch 1/1, validation error 40.000000 %, cost 3.611056
epoch 16, minibatch 1/1, validation error 40.000000 %, cost 1.833410
epoch 17, minibatch 1/1, validation error 60.000000 %, cost 0.556189
epoch 18, minibatch 1/1, validation error 40.000000 %, cost 0.636867
epoch 19, minibatch 1/1, validation error 60.000000 %, cost 1.145633
epoch 20, minibatch 1/1, validation error 40.000000 %, cost 0.859915
epoch 21, minibatch 1/1, validation error 40.000000 %, cost 1.664614
epoch 22, minibatch 1/1, validation error 60.000000 %, cost 0.546888
epoch 23, minibatch 1/1, validation error 40.000000 %, cost 0.646642
epoch 24, minibatch 1/1, validation error 60.000000 %, cost 1.051941
epoch 25, minibatch 1/1, validation error 40.000000 %, cost 0.693631
epoch 26, minibatch 1/1, validation error 40.000000 %, cost 1.246637
