In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
('The configuration of the net is learning rate', 0.01, 'numero de epochs:', 400, 'numero de kernels', [96, 256, 386, 384, 256], 'batch size:', 14)
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((14, 49152), (14, 49152), (14, 49152))
((14,), (14,), (14,))
(49152,)
n_train_samples: 14
n_valid_samples: 14
n_test_samples: 14
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 42.857143 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 57.142857 %, cost 2.615399
epoch 3, minibatch 1/1, validation error 42.857143 %, cost 6.610126
epoch 4, minibatch 1/1, validation error 42.857143 %, cost 5.593630
epoch 5, minibatch 1/1, validation error 57.142857 %, cost 0.990478
epoch 6, minibatch 1/1, validation error 42.857143 %, cost 4.281073
epoch 7, minibatch 1/1, validation error 42.857143 %, cost 4.820999
epoch 8, minibatch 1/1, validation error 57.142857 %, cost 1.003825
epoch 9, minibatch 1/1, validation error 42.857143 %, cost 3.157284
epoch 10, minibatch 1/1, validation error 42.857143 %, cost 3.811607
epoch 11, minibatch 1/1, validation error 57.142857 %, cost 0.890339
epoch 12, minibatch 1/1, validation error 42.857143 %, cost 1.922300
epoch 13, minibatch 1/1, validation error 42.857143 %, cost 2.807526
epoch 14, minibatch 1/1, validation error 57.142857 %, cost 0.728900
epoch 15, minibatch 1/1, validation error 42.857143 %, cost 0.789748
epoch 16, minibatch 1/1, validation error 57.142857 %, cost 1.299739
epoch 17, minibatch 1/1, validation error 42.857143 %, cost 1.007506
epoch 18, minibatch 1/1, validation error 57.142857 %, cost 1.507152
epoch 19, minibatch 1/1, validation error 42.857143 %, cost 0.786597
epoch 20, minibatch 1/1, validation error 57.142857 %, cost 0.943100
epoch 21, minibatch 1/1, validation error 42.857143 %, cost 0.887479
epoch 22, minibatch 1/1, validation error 57.142857 %, cost 1.006624
epoch 23, minibatch 1/1, validation error 42.857143 %, cost 0.747496
epoch 24, minibatch 1/1, validation error 57.142857 %, cost 0.823069
epoch 25, minibatch 1/1, validation error 42.857143 %, cost 0.770668
epoch 26, minibatch 1/1, validation error 57.142857 %, cost 0.749219
epoch 27, minibatch 1/1, validation error 42.857143 %, cost 0.690156
epoch 28, minibatch 1/1, validation error 57.142857 %, cost 0.818293
epoch 29, minibatch 1/1, validation error 42.857143 %, cost 0.750757
epoch 30, minibatch 1/1, validation error 57.142857 %, cost 0.802344
epoch 31, minibatch 1/1, validation error 42.857143 %, cost 0.816223
epoch 32, minibatch 1/1, validation error 57.142857 %, cost 0.933484
epoch 33, minibatch 1/1, validation error 42.857143 %, cost 0.799910
epoch 34, minibatch 1/1, validation error 57.142857 %, cost 0.817824
epoch 35, minibatch 1/1, validation error 42.857143 %, cost 0.805514
epoch 36, minibatch 1/1, validation error 57.142857 %, cost 0.908456
epoch 37, minibatch 1/1, validation error 42.857143 %, cost 0.735836
epoch 38, minibatch 1/1, validation error 57.142857 %, cost 0.704643
epoch 39, minibatch 1/1, validation error 42.857143 %, cost 0.690558
epoch 40, minibatch 1/1, validation error 57.142857 %, cost 0.665377
epoch 41, minibatch 1/1, validation error 42.857143 %, cost 0.602656
epoch 42, minibatch 1/1, validation error 57.142857 %, cost 0.751875
epoch 43, minibatch 1/1, validation error 42.857143 %, cost 0.639185
epoch 44, minibatch 1/1, validation error 57.142857 %, cost 0.642186
epoch 45, minibatch 1/1, validation error 42.857143 %, cost 0.688319
epoch 46, minibatch 1/1, validation error 57.142857 %, cost 0.675703
epoch 47, minibatch 1/1, validation error 42.857143 %, cost 0.608029
epoch 48, minibatch 1/1, validation error 57.142857 %, cost 0.771912
epoch 49, minibatch 1/1, validation error 42.857143 %, cost 0.641179
epoch 50, minibatch 1/1, validation error 42.857143 %, cost 0.766604
epoch 51, minibatch 1/1, validation error 57.142857 %, cost 0.691312
epoch 52, minibatch 1/1, validation error 42.857143 %, cost 0.760355
epoch 53, minibatch 1/1, validation error 57.142857 %, cost 0.696575
epoch 54, minibatch 1/1, validation error 42.857143 %, cost 0.766609
epoch 55, minibatch 1/1, validation error 57.142857 %, cost 0.967915
epoch 56, minibatch 1/1, validation error 42.857143 %, cost 0.795719
epoch 57, minibatch 1/1, validation error 57.142857 %, cost 0.925967
epoch 58, minibatch 1/1, validation error 42.857143 %, cost 0.834971
epoch 59, minibatch 1/1, validation error 57.142857 %, cost 0.784657
epoch 60, minibatch 1/1, validation error 42.857143 %, cost 0.689807
epoch 61, minibatch 1/1, validation error 42.857143 %, cost 0.762958
epoch 62, minibatch 1/1, validation error 42.857143 %, cost 0.672217
epoch 63, minibatch 1/1, validation error 42.857143 %, cost 0.626510
epoch 64, minibatch 1/1, validation error 42.857143 %, cost 0.692591
epoch 65, minibatch 1/1, validation error 42.857143 %, cost 0.669138
epoch 66, minibatch 1/1, validation error 42.857143 %, cost 0.526878
epoch 67, minibatch 1/1, validation error 35.714286 %, cost 0.735906
epoch 68, minibatch 1/1, validation error 42.857143 %, cost 0.672763
epoch 69, minibatch 1/1, validation error 57.142857 %, cost 0.706091
epoch 70, minibatch 1/1, validation error 42.857143 %, cost 0.672979
epoch 71, minibatch 1/1, validation error 57.142857 %, cost 0.746220
epoch 72, minibatch 1/1, validation error 42.857143 %, cost 0.842289
epoch 73, minibatch 1/1, validation error 57.142857 %, cost 0.914716
epoch 74, minibatch 1/1, validation error 42.857143 %, cost 0.684514
epoch 75, minibatch 1/1, validation error 57.142857 %, cost 0.750981
epoch 76, minibatch 1/1, validation error 42.857143 %, cost 0.717610
epoch 77, minibatch 1/1, validation error 57.142857 %, cost 0.626970
epoch 78, minibatch 1/1, validation error 42.857143 %, cost 0.649765
epoch 79, minibatch 1/1, validation error 42.857143 %, cost 0.680294
epoch 80, minibatch 1/1, validation error 42.857143 %, cost 0.560165
epoch 81, minibatch 1/1, validation error 42.857143 %, cost 0.660322
epoch 82, minibatch 1/1, validation error 50.000000 %, cost 0.619814
epoch 83, minibatch 1/1, validation error 42.857143 %, cost 0.664383
epoch 84, minibatch 1/1, validation error 42.857143 %, cost 0.639876
epoch 85, minibatch 1/1, validation error 42.857143 %, cost 0.642314
epoch 86, minibatch 1/1, validation error 42.857143 %, cost 0.572860
epoch 87, minibatch 1/1, validation error 42.857143 %, cost 0.649762
epoch 88, minibatch 1/1, validation error 42.857143 %, cost 0.638692
epoch 89, minibatch 1/1, validation error 42.857143 %, cost 0.596740
epoch 90, minibatch 1/1, validation error 57.142857 %, cost 0.610314
epoch 91, minibatch 1/1, validation error 42.857143 %, cost 0.908835
epoch 92, minibatch 1/1, validation error 57.142857 %, cost 0.993279
epoch 93, minibatch 1/1, validation error 42.857143 %, cost 1.026035
epoch 94, minibatch 1/1, validation error 57.142857 %, cost 1.146834
epoch 95, minibatch 1/1, validation error 42.857143 %, cost 0.661482
epoch 96, minibatch 1/1, validation error 57.142857 %, cost 0.717153
epoch 97, minibatch 1/1, validation error 42.857143 %, cost 0.731816
epoch 98, minibatch 1/1, validation error 57.142857 %, cost 0.698727
epoch 99, minibatch 1/1, validation error 42.857143 %, cost 0.803399
epoch 100, minibatch 1/1, validation error 35.714286 %, cost 0.621300
('training @ iter = ', 100)
epoch 101, minibatch 1/1, validation error 42.857143 %, cost 0.638371
epoch 102, minibatch 1/1, validation error 50.000000 %, cost 0.652520
epoch 103, minibatch 1/1, validation error 42.857143 %, cost 0.625145
epoch 104, minibatch 1/1, validation error 42.857143 %, cost 0.675851
epoch 105, minibatch 1/1, validation error 42.857143 %, cost 0.556294
epoch 106, minibatch 1/1, validation error 42.857143 %, cost 0.603623
epoch 107, minibatch 1/1, validation error 42.857143 %, cost 0.639068
epoch 108, minibatch 1/1, validation error 28.571429 %, cost 0.600207
epoch 109, minibatch 1/1, validation error 42.857143 %, cost 0.568863
epoch 110, minibatch 1/1, validation error 57.142857 %, cost 0.798938
epoch 111, minibatch 1/1, validation error 42.857143 %, cost 0.687370
epoch 112, minibatch 1/1, validation error 57.142857 %, cost 0.801951
epoch 113, minibatch 1/1, validation error 42.857143 %, cost 0.734449
epoch 114, minibatch 1/1, validation error 57.142857 %, cost 0.643729
epoch 115, minibatch 1/1, validation error 42.857143 %, cost 0.747117
epoch 116, minibatch 1/1, validation error 57.142857 %, cost 0.697980
epoch 117, minibatch 1/1, validation error 42.857143 %, cost 0.675254
epoch 118, minibatch 1/1, validation error 42.857143 %, cost 0.711261
epoch 119, minibatch 1/1, validation error 42.857143 %, cost 0.693956
epoch 120, minibatch 1/1, validation error 35.714286 %, cost 0.648046
epoch 121, minibatch 1/1, validation error 42.857143 %, cost 0.685431
epoch 122, minibatch 1/1, validation error 42.857143 %, cost 0.675450
epoch 123, minibatch 1/1, validation error 42.857143 %, cost 0.593888
epoch 124, minibatch 1/1, validation error 35.714286 %, cost 0.613276
epoch 125, minibatch 1/1, validation error 42.857143 %, cost 0.519292
epoch 126, minibatch 1/1, validation error 42.857143 %, cost 0.492419
epoch 127, minibatch 1/1, validation error 35.714286 %, cost 0.497862
epoch 128, minibatch 1/1, validation error 42.857143 %, cost 0.652149
epoch 129, minibatch 1/1, validation error 42.857143 %, cost 0.736291
epoch 130, minibatch 1/1, validation error 57.142857 %, cost 1.164972
epoch 131, minibatch 1/1, validation error 42.857143 %, cost 0.654950
epoch 132, minibatch 1/1, validation error 42.857143 %, cost 0.595744
epoch 133, minibatch 1/1, validation error 42.857143 %, cost 0.611492
epoch 134, minibatch 1/1, validation error 35.714286 %, cost 0.554581
epoch 135, minibatch 1/1, validation error 35.714286 %, cost 0.438971
epoch 136, minibatch 1/1, validation error 35.714286 %, cost 0.386499
epoch 137, minibatch 1/1, validation error 42.857143 %, cost 0.509784
epoch 138, minibatch 1/1, validation error 42.857143 %, cost 0.781629
epoch 139, minibatch 1/1, validation error 50.000000 %, cost 0.926492
epoch 140, minibatch 1/1, validation error 42.857143 %, cost 0.591698
epoch 141, minibatch 1/1, validation error 35.714286 %, cost 0.763783
epoch 142, minibatch 1/1, validation error 42.857143 %, cost 0.557499
epoch 143, minibatch 1/1, validation error 35.714286 %, cost 0.412790
epoch 144, minibatch 1/1, validation error 42.857143 %, cost 0.345654
epoch 145, minibatch 1/1, validation error 35.714286 %, cost 0.485461
epoch 146, minibatch 1/1, validation error 42.857143 %, cost 0.420615
epoch 147, minibatch 1/1, validation error 50.000000 %, cost 0.684449
epoch 148, minibatch 1/1, validation error 42.857143 %, cost 0.921164
epoch 149, minibatch 1/1, validation error 42.857143 %, cost 1.063395
epoch 150, minibatch 1/1, validation error 42.857143 %, cost 0.404368
epoch 151, minibatch 1/1, validation error 42.857143 %, cost 0.300155
epoch 152, minibatch 1/1, validation error 42.857143 %, cost 0.319748
epoch 153, minibatch 1/1, validation error 42.857143 %, cost 0.320194
epoch 154, minibatch 1/1, validation error 35.714286 %, cost 0.344480
epoch 155, minibatch 1/1, validation error 42.857143 %, cost 0.299753
epoch 156, minibatch 1/1, validation error 35.714286 %, cost 0.394092
epoch 157, minibatch 1/1, validation error 42.857143 %, cost 0.833925
