In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((14, 49152), (14, 49152), (14, 49152))
((14,), (14,), (14,))
(49152,)
n_train_samples: 14
n_valid_samples: 14
n_test_samples: 14
n_batches:
n_train_batches: 1
n_valid_batches: 1
n_test_batches: 1
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 1
 
('n_train_batches', 1)
('training @ iter = ', 0)
epoch 1, minibatch 1/1, validation error 42.857143 %, cost 0.693147
epoch 2, minibatch 1/1, validation error 42.857143 %, cost 0.654725
epoch 3, minibatch 1/1, validation error 42.857143 %, cost 0.651937
epoch 4, minibatch 1/1, validation error 42.857143 %, cost 0.651440
epoch 5, minibatch 1/1, validation error 42.857143 %, cost 0.651636
epoch 6, minibatch 1/1, validation error 42.857143 %, cost 0.651933
epoch 7, minibatch 1/1, validation error 42.857143 %, cost 0.649118
epoch 8, minibatch 1/1, validation error 42.857143 %, cost 0.648349
epoch 9, minibatch 1/1, validation error 42.857143 %, cost 0.651510
epoch 10, minibatch 1/1, validation error 42.857143 %, cost 0.657497
epoch 11, minibatch 1/1, validation error 42.857143 %, cost 0.649165
epoch 12, minibatch 1/1, validation error 42.857143 %, cost 0.653525
epoch 13, minibatch 1/1, validation error 42.857143 %, cost 0.648060
epoch 14, minibatch 1/1, validation error 42.857143 %, cost 0.649709
epoch 15, minibatch 1/1, validation error 42.857143 %, cost 0.646653
epoch 16, minibatch 1/1, validation error 42.857143 %, cost 0.650360
epoch 17, minibatch 1/1, validation error 42.857143 %, cost 0.651178
epoch 18, minibatch 1/1, validation error 42.857143 %, cost 0.654635
epoch 19, minibatch 1/1, validation error 42.857143 %, cost 0.654887
epoch 20, minibatch 1/1, validation error 42.857143 %, cost 0.651623
epoch 21, minibatch 1/1, validation error 42.857143 %, cost 0.655468
epoch 22, minibatch 1/1, validation error 42.857143 %, cost 0.648241
epoch 23, minibatch 1/1, validation error 42.857143 %, cost 0.654612
epoch 24, minibatch 1/1, validation error 42.857143 %, cost 0.648378
epoch 25, minibatch 1/1, validation error 42.857143 %, cost 0.652153
epoch 26, minibatch 1/1, validation error 42.857143 %, cost 0.647956
epoch 27, minibatch 1/1, validation error 42.857143 %, cost 0.642112
epoch 28, minibatch 1/1, validation error 42.857143 %, cost 0.659357
epoch 29, minibatch 1/1, validation error 42.857143 %, cost 0.654275
epoch 30, minibatch 1/1, validation error 42.857143 %, cost 0.650030
epoch 31, minibatch 1/1, validation error 42.857143 %, cost 0.657346
epoch 32, minibatch 1/1, validation error 42.857143 %, cost 0.658510
epoch 33, minibatch 1/1, validation error 42.857143 %, cost 0.652989
epoch 34, minibatch 1/1, validation error 42.857143 %, cost 0.641963
epoch 35, minibatch 1/1, validation error 42.857143 %, cost 0.656731
epoch 36, minibatch 1/1, validation error 42.857143 %, cost 0.650708
epoch 37, minibatch 1/1, validation error 42.857143 %, cost 0.649888
epoch 38, minibatch 1/1, validation error 42.857143 %, cost 0.656860
