In this file are the results of using casia architecture and FRAV image database
In the architecture conv, pool, response normalization,fully connect, dropout and softmax layers are used with relu. No strides are used
The configuration of the net is learning_rate=0.001, n_epochs=400, nkerns=[96, 256, 386, 384, 256], batch_size=20
Early stop has been deleted
For training has been used softmax classifier and for testing softmax and SVM
In this example, two classes are going to be used, class 0 for real users and class 1 for attacks
Start reading the data...
((98, 49152), (28, 49152), (14, 49152))
((98,), (28,), (14,))
(49152,)
n_train_samples: 98
n_valid_samples: 14
n_test_samples: 28
n_batches:
n_train_batches: 7
n_valid_batches: 1
n_test_batches: 2
... building the model
... training
 
patience: 100000
patience_increase: 2
improvement threshold: 0
validation_frequency: 7
 
('n_train_batches', 7)
('training @ iter = ', 0)
epoch 1, minibatch 7/7, validation error 42.857143 %, cost 1.646272
epoch 2, minibatch 7/7, validation error 42.857143 %, cost 0.253970
epoch 3, minibatch 7/7, validation error 42.857143 %, cost 0.438682
epoch 4, minibatch 7/7, validation error 42.857143 %, cost 0.347959
epoch 5, minibatch 7/7, validation error 42.857143 %, cost 0.236231
epoch 6, minibatch 7/7, validation error 42.857143 %, cost 0.306704
epoch 7, minibatch 7/7, validation error 42.857143 %, cost 0.313569
epoch 8, minibatch 7/7, validation error 42.857143 %, cost 0.273493
epoch 9, minibatch 7/7, validation error 42.857143 %, cost 0.285248
epoch 10, minibatch 7/7, validation error 42.857143 %, cost 0.272440
epoch 11, minibatch 7/7, validation error 42.857143 %, cost 0.273869
epoch 12, minibatch 7/7, validation error 42.857143 %, cost 0.256314
epoch 13, minibatch 7/7, validation error 42.857143 %, cost 0.257795
epoch 14, minibatch 7/7, validation error 42.857143 %, cost 0.300077
('training @ iter = ', 100)
epoch 15, minibatch 7/7, validation error 42.857143 %, cost 0.308007
epoch 16, minibatch 7/7, validation error 42.857143 %, cost 0.305480
epoch 17, minibatch 7/7, validation error 42.857143 %, cost 0.324057
epoch 18, minibatch 7/7, validation error 42.857143 %, cost 0.284745
epoch 19, minibatch 7/7, validation error 42.857143 %, cost 0.273467
epoch 20, minibatch 7/7, validation error 42.857143 %, cost 0.305089
epoch 21, minibatch 7/7, validation error 42.857143 %, cost 0.303476
epoch 22, minibatch 7/7, validation error 42.857143 %, cost 0.338013
epoch 23, minibatch 7/7, validation error 42.857143 %, cost 0.329445
epoch 24, minibatch 7/7, validation error 42.857143 %, cost 0.376147
epoch 25, minibatch 7/7, validation error 42.857143 %, cost 0.322781
epoch 26, minibatch 7/7, validation error 42.857143 %, cost 0.308883
epoch 27, minibatch 7/7, validation error 42.857143 %, cost 0.313567
epoch 28, minibatch 7/7, validation error 42.857143 %, cost 0.338882
('training @ iter = ', 200)
epoch 29, minibatch 7/7, validation error 42.857143 %, cost 0.293540
epoch 30, minibatch 7/7, validation error 42.857143 %, cost 0.291881
epoch 31, minibatch 7/7, validation error 42.857143 %, cost 0.301261
epoch 32, minibatch 7/7, validation error 42.857143 %, cost 0.317064
epoch 33, minibatch 7/7, validation error 42.857143 %, cost 0.301027
epoch 34, minibatch 7/7, validation error 42.857143 %, cost 0.331974
epoch 35, minibatch 7/7, validation error 42.857143 %, cost 0.304409
epoch 36, minibatch 7/7, validation error 42.857143 %, cost 0.292748
epoch 37, minibatch 7/7, validation error 42.857143 %, cost 0.343210
epoch 38, minibatch 7/7, validation error 42.857143 %, cost 0.347680
epoch 39, minibatch 7/7, validation error 42.857143 %, cost 0.322829
epoch 40, minibatch 7/7, validation error 42.857143 %, cost 0.367942
epoch 41, minibatch 7/7, validation error 42.857143 %, cost 0.346375
epoch 42, minibatch 7/7, validation error 42.857143 %, cost 0.336617
('training @ iter = ', 300)
epoch 43, minibatch 7/7, validation error 42.857143 %, cost 0.325548
epoch 44, minibatch 7/7, validation error 42.857143 %, cost 0.353893
epoch 45, minibatch 7/7, validation error 42.857143 %, cost 0.332164
epoch 46, minibatch 7/7, validation error 42.857143 %, cost 0.326106
epoch 47, minibatch 7/7, validation error 42.857143 %, cost 0.347140
epoch 48, minibatch 7/7, validation error 42.857143 %, cost 0.339431
epoch 49, minibatch 7/7, validation error 42.857143 %, cost 0.285763
epoch 50, minibatch 7/7, validation error 42.857143 %, cost 0.324134
epoch 51, minibatch 7/7, validation error 42.857143 %, cost 0.318703
epoch 52, minibatch 7/7, validation error 42.857143 %, cost 0.353956
epoch 53, minibatch 7/7, validation error 42.857143 %, cost 0.342272
epoch 54, minibatch 7/7, validation error 42.857143 %, cost 0.306113
epoch 55, minibatch 7/7, validation error 42.857143 %, cost 0.338679
epoch 56, minibatch 7/7, validation error 42.857143 %, cost 0.327646
epoch 57, minibatch 7/7, validation error 42.857143 %, cost 0.328855
('training @ iter = ', 400)
epoch 58, minibatch 7/7, validation error 42.857143 %, cost 0.317717
epoch 59, minibatch 7/7, validation error 42.857143 %, cost 0.327101
epoch 60, minibatch 7/7, validation error 42.857143 %, cost 0.310735
epoch 61, minibatch 7/7, validation error 42.857143 %, cost 0.311280
epoch 62, minibatch 7/7, validation error 42.857143 %, cost 0.333821
epoch 63, minibatch 7/7, validation error 42.857143 %, cost 0.332112
epoch 64, minibatch 7/7, validation error 42.857143 %, cost 0.329207
epoch 65, minibatch 7/7, validation error 42.857143 %, cost 0.344320
epoch 66, minibatch 7/7, validation error 42.857143 %, cost 0.349610
epoch 67, minibatch 7/7, validation error 42.857143 %, cost 0.339245
epoch 68, minibatch 7/7, validation error 42.857143 %, cost 0.345434
epoch 69, minibatch 7/7, validation error 42.857143 %, cost 0.308803
epoch 70, minibatch 7/7, validation error 42.857143 %, cost 0.314108
epoch 71, minibatch 7/7, validation error 42.857143 %, cost 0.316197
('training @ iter = ', 500)
epoch 72, minibatch 7/7, validation error 42.857143 %, cost 0.330550
epoch 73, minibatch 7/7, validation error 42.857143 %, cost 0.295765
epoch 74, minibatch 7/7, validation error 42.857143 %, cost 0.327072
epoch 75, minibatch 7/7, validation error 42.857143 %, cost 0.315321
epoch 76, minibatch 7/7, validation error 42.857143 %, cost 0.349945
epoch 77, minibatch 7/7, validation error 42.857143 %, cost 0.354482
epoch 78, minibatch 7/7, validation error 42.857143 %, cost 0.351155
epoch 79, minibatch 7/7, validation error 42.857143 %, cost 0.342933
epoch 80, minibatch 7/7, validation error 42.857143 %, cost 0.371038
epoch 81, minibatch 7/7, validation error 42.857143 %, cost 0.348427
epoch 82, minibatch 7/7, validation error 42.857143 %, cost 0.312042
epoch 83, minibatch 7/7, validation error 42.857143 %, cost 0.388795
epoch 84, minibatch 7/7, validation error 42.857143 %, cost 0.358714
epoch 85, minibatch 7/7, validation error 42.857143 %, cost 0.303493
('training @ iter = ', 600)
epoch 86, minibatch 7/7, validation error 42.857143 %, cost 0.309749
epoch 87, minibatch 7/7, validation error 42.857143 %, cost 0.357695
epoch 88, minibatch 7/7, validation error 42.857143 %, cost 0.404630
epoch 89, minibatch 7/7, validation error 42.857143 %, cost 0.328675
epoch 90, minibatch 7/7, validation error 42.857143 %, cost 0.319606
epoch 91, minibatch 7/7, validation error 42.857143 %, cost 0.375282
epoch 92, minibatch 7/7, validation error 42.857143 %, cost 0.377849
epoch 93, minibatch 7/7, validation error 42.857143 %, cost 0.282532
epoch 94, minibatch 7/7, validation error 42.857143 %, cost 0.408167
epoch 95, minibatch 7/7, validation error 42.857143 %, cost 0.269825
epoch 96, minibatch 7/7, validation error 42.857143 %, cost 0.355608
epoch 97, minibatch 7/7, validation error 42.857143 %, cost 0.387653
epoch 98, minibatch 7/7, validation error 42.857143 %, cost 0.282212
epoch 99, minibatch 7/7, validation error 42.857143 %, cost 0.364101
epoch 100, minibatch 7/7, validation error 42.857143 %, cost 0.279593
('training @ iter = ', 700)
epoch 101, minibatch 7/7, validation error 42.857143 %, cost 0.419726
epoch 102, minibatch 7/7, validation error 42.857143 %, cost 0.311597
epoch 103, minibatch 7/7, validation error 42.857143 %, cost 0.326233
epoch 104, minibatch 7/7, validation error 42.857143 %, cost 0.387403
epoch 105, minibatch 7/7, validation error 42.857143 %, cost 0.293412
epoch 106, minibatch 7/7, validation error 42.857143 %, cost 0.366133
epoch 107, minibatch 7/7, validation error 42.857143 %, cost 0.293846
epoch 108, minibatch 7/7, validation error 42.857143 %, cost 0.346219
epoch 109, minibatch 7/7, validation error 42.857143 %, cost 0.361185
epoch 110, minibatch 7/7, validation error 42.857143 %, cost 0.245733
epoch 111, minibatch 7/7, validation error 42.857143 %, cost 0.357824
epoch 112, minibatch 7/7, validation error 42.857143 %, cost 0.410713
epoch 113, minibatch 7/7, validation error 42.857143 %, cost 0.358651
epoch 114, minibatch 7/7, validation error 42.857143 %, cost 0.283823
('training @ iter = ', 800)
epoch 115, minibatch 7/7, validation error 42.857143 %, cost 0.286794
epoch 116, minibatch 7/7, validation error 42.857143 %, cost 0.294125
epoch 117, minibatch 7/7, validation error 42.857143 %, cost 0.321058
epoch 118, minibatch 7/7, validation error 42.857143 %, cost 0.320893
epoch 119, minibatch 7/7, validation error 42.857143 %, cost 0.273158
epoch 120, minibatch 7/7, validation error 42.857143 %, cost 0.261475
epoch 121, minibatch 7/7, validation error 42.857143 %, cost 0.303970
epoch 122, minibatch 7/7, validation error 42.857143 %, cost 0.301372
epoch 123, minibatch 7/7, validation error 42.857143 %, cost 0.242825
epoch 124, minibatch 7/7, validation error 42.857143 %, cost 0.259801
epoch 125, minibatch 7/7, validation error 42.857143 %, cost 0.331144
epoch 126, minibatch 7/7, validation error 42.857143 %, cost 0.255904
epoch 127, minibatch 7/7, validation error 42.857143 %, cost 0.238000
epoch 128, minibatch 7/7, validation error 42.857143 %, cost 0.246656
('training @ iter = ', 900)
epoch 129, minibatch 7/7, validation error 42.857143 %, cost 0.231301
epoch 130, minibatch 7/7, validation error 35.714286 %, cost 0.217383
epoch 131, minibatch 7/7, validation error 35.714286 %, cost 0.199044
epoch 132, minibatch 7/7, validation error 42.857143 %, cost 0.201942
epoch 133, minibatch 7/7, validation error 42.857143 %, cost 0.234281
epoch 134, minibatch 7/7, validation error 42.857143 %, cost 0.357870
epoch 135, minibatch 7/7, validation error 42.857143 %, cost 0.326638
epoch 136, minibatch 7/7, validation error 42.857143 %, cost 0.229329
epoch 137, minibatch 7/7, validation error 35.714286 %, cost 0.200969
epoch 138, minibatch 7/7, validation error 42.857143 %, cost 0.211928
epoch 139, minibatch 7/7, validation error 42.857143 %, cost 0.224586
epoch 140, minibatch 7/7, validation error 35.714286 %, cost 0.230014
epoch 141, minibatch 7/7, validation error 42.857143 %, cost 0.224704
epoch 142, minibatch 7/7, validation error 35.714286 %, cost 0.205893
('training @ iter = ', 1000)
epoch 143, minibatch 7/7, validation error 35.714286 %, cost 0.200114
epoch 144, minibatch 7/7, validation error 42.857143 %, cost 0.179345
epoch 145, minibatch 7/7, validation error 42.857143 %, cost 0.158179
epoch 146, minibatch 7/7, validation error 35.714286 %, cost 0.113013
epoch 147, minibatch 7/7, validation error 35.714286 %, cost 0.117709
epoch 148, minibatch 7/7, validation error 35.714286 %, cost 0.160618
epoch 149, minibatch 7/7, validation error 42.857143 %, cost 0.164368
epoch 150, minibatch 7/7, validation error 42.857143 %, cost 0.091148
epoch 151, minibatch 7/7, validation error 35.714286 %, cost 0.093927
epoch 152, minibatch 7/7, validation error 42.857143 %, cost 0.086892
epoch 153, minibatch 7/7, validation error 35.714286 %, cost 0.091557
epoch 154, minibatch 7/7, validation error 35.714286 %, cost 0.075967
epoch 155, minibatch 7/7, validation error 35.714286 %, cost 0.109989
epoch 156, minibatch 7/7, validation error 28.571429 %, cost 0.220808
epoch 157, minibatch 7/7, validation error 35.714286 %, cost 0.151261
('training @ iter = ', 1100)
epoch 158, minibatch 7/7, validation error 35.714286 %, cost 0.098406
epoch 159, minibatch 7/7, validation error 35.714286 %, cost 0.112766
epoch 160, minibatch 7/7, validation error 42.857143 %, cost 0.096778
epoch 161, minibatch 7/7, validation error 42.857143 %, cost 0.040287
epoch 162, minibatch 7/7, validation error 35.714286 %, cost 0.036916
epoch 163, minibatch 7/7, validation error 35.714286 %, cost 0.036127
epoch 164, minibatch 7/7, validation error 42.857143 %, cost 0.018193
epoch 165, minibatch 7/7, validation error 42.857143 %, cost 0.021445
epoch 166, minibatch 7/7, validation error 42.857143 %, cost 0.031839
epoch 167, minibatch 7/7, validation error 42.857143 %, cost 0.008329
epoch 168, minibatch 7/7, validation error 42.857143 %, cost 0.542328
epoch 169, minibatch 7/7, validation error 42.857143 %, cost 0.270897
epoch 170, minibatch 7/7, validation error 42.857143 %, cost 0.202357
epoch 171, minibatch 7/7, validation error 42.857143 %, cost 0.267328
('training @ iter = ', 1200)
epoch 172, minibatch 7/7, validation error 35.714286 %, cost 0.207626
